Duration,Received echo requests,Attack
69.8011, 63843, 1
164.36, 147039, 1
372.406, 336252, 1
15.2726, 14285, 1
57.5823, 50481, 1
250.91, 226263, 1
12.7724, 10488, 1
7.61751, 6638, 1
252.898, 224560, 1
279.867, 254140, 1
88.7658, 83805, 1
27.3531, 25552, 1
84.5769, 84475, 1
151.484, 143744, 1
378.749, 387989, 1
8.15362, 7836, 1
476.954, 470255, 1
24.6021, 22856, 1
76.4561, 72372, 1
17.1907, 16189, 1
124.358, 117683, 1
114.443, 106495, 1
385.326, 358281, 1
146.862, 136260, 1
222.027, 207899, 1
362.456, 349808, 1
21.2024, 16169, 1
131.846, 121104, 1
409.884, 378490, 1
207.052, 183945, 1
72.7952, 64479, 1
300.593, 283779, 1
250.307, 236945, 1
410.139, 373075, 1
152.557, 137025, 1
395.845, 342870, 1
237.416, 213620, 1
45.5884, 40707, 1
492.735, 436815, 1
319.501, 288249, 1
229.395, 174612, 1
488.005, 424639, 1
490.001, 466459, 1
52.1295, 51399, 1
454.404, 428626, 1
452.724, 422155, 1
330.875, 309265, 1
332.98, 287498, 1
141.603, 113871, 1
83.1193, 76032, 1
332.366, 301906, 1
275.604, 238461, 1
26.5117, 18436, 1
8.91645, 4326, 1
432.477, 288838, 1
344.842, 258393, 1
65.232, 52759, 1
317.451, 191721, 1
178.417, 116540, 1
94.1571, 61745, 1
295.575, 248482, 1
431.317, 338673, 1
317.182, 284042, 1
341.797, 321318, 1
86.3001, 78178, 1
465.205, 426266, 1
191.929, 168637, 1
202.995, 187035, 1
202.057, 175523, 1
64.7479, 54290, 1
213.491, 180632, 1
496.912, 466329, 1
327.031, 300877, 1
202.068, 190603, 1
480.901, 451640, 1
442.298, 437348, 1
409.66, 397228, 1
492.382, 451835, 1
71.6722, 64292, 1
290.549, 259899, 1
207.509, 187448, 1
111.757, 99871, 1
377.541, 336499, 1
270.583, 249649, 1
325.641, 317709, 1
144.865, 139732, 1
105.854, 103179, 1
142.937, 141343, 1
41.7336, 34739, 1
9.48211, 6966, 1
213.622, 203034, 1
375.737, 361163, 1
212.612, 208855, 1
189.113, 187167, 1
302.208, 295784, 1
357.651, 334309, 1
102.228, 90845, 1
360.446, 324688, 1
181.072, 165552, 1
320.183, 299918, 1
472.126, 417877, 1
52.7381, 44775, 1
150.434, 119648, 1
231.604, 176196, 1
405.678, 298996, 1
499.917, 354359, 1
315.61, 235850, 1
111.481, 86288, 1
353.719, 267324, 1
